DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 09:26:27,33,33,0,1016.394,74.903,16.5,6,99,0,0,3.727,11.576
2025-03-04 09:26:29,66,97,0,1005.216,63.786,48.5,6,291,0,0,0.907,7.711
2025-03-04 09:26:31,98,161,0,1002.832,63.007,80.5,6,483,0,0,0.795,9.87
2025-03-04 09:26:33,133,228,0,1007.715,65.722,114,6,684,0,0,0.592,7.342
2025-03-04 09:26:35,190,464,0,1011.483,66.297,232,6,1392,0,0,0.427,7.7
2025-03-04 09:26:37,225,405,0,1005.558,66.766,202.5,6,1215,0,0,0.432,8.052
2025-03-04 09:26:39,260,458,0,1005.432,64.935,229,6,1374,0,0,0.371,6.535
2025-03-04 09:26:41,292,532,0,1020.008,69.602,266,6,1596,0,0,0.395,18.823
2025-03-04 09:26:43,325,594,0,1007.135,65.734,297,6,1782,0,0,0.374,7.896
2025-03-04 09:26:45,361,655,0,1009.279,64.855,327.5,6,1965,0,0,0.327,9.447
2025-03-04 09:26:47,390,720,0,1016.372,63.984,360,6,2160,0,0,0.311,11.676
2025-03-04 09:26:49,425,785,0,1017.318,65.69,392.5,6,2355,0,0,0.327,17.066
2025-03-04 09:26:51,460,852,0,1019.863,68.31,426,6,2556,0,0,0.293,18.283
2025-03-04 09:26:53,490,875,0,1033.061,71.07,437.5,6,2625,0,0,0.272,35.147
2025-03-04 09:26:55,524,872,0,1118.21,74.645,436,6,2616,0,0,0.258,115.391
2025-03-04 09:26:57,559,898,0,1186.601,73.712,449,6,2694,0,0,0.269,187.571
2025-03-04 09:26:59,590,882,0,1249.958,73.228,441,6,2646,0,0,0.222,249.963
2025-03-04 09:27:01,627,872,0,1333.927,75.978,436,6,2616,0,0,0.273,329.526
2025-03-04 09:27:03,656,880,0,1403.919,76.635,440,6,2640,0,0,0.252,403.738
2025-03-04 09:27:05,691,890,0,1484.978,74.989,445,6,2670,0,0,0.27,485.49
2025-03-04 09:27:07,750,1482,0,1619.357,94.518,741,6,4446,0,0,0.267,398.043
2025-03-04 09:27:09,785,803,0,1780.628,83.848,401.5,6,2409,0,0,0.263,779.954
2025-03-04 09:27:11,813,796,0,1907.467,80.108,398,6,2388,0,0,0.27,910.117
2025-03-04 09:27:13,849,811,0,1976.932,74.492,405.5,6,2433,0,0,0.268,976.656
2025-03-04 09:27:15,882,816,0,2049.455,74.462,408,6,2448,0,0,0.266,1048.127
2025-03-04 09:27:17,916,788,0,2177.558,85.978,394,6,2364,0,0,0.297,1174.9
2025-03-04 09:27:19,948,805,0,2247.896,73.507,402.5,6,2415,0,0,0.288,1245.812
2025-03-04 09:27:21,982,811,0,2298.764,75.456,405.5,6,2433,0,0,0.3,1298.702
2025-03-04 09:27:23,1016,783,0,2391.57,85.871,391.5,6,2349,0,0,0.254,1398.464
2025-03-04 09:27:25,1050,799,0,2481.066,74.259,399.5,6,2397,0,0,0.258,1480.522
