DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 09:35:43,26,19,0,1045.368,39.337,9.5,6,57,0,0,5.842,15.526
2025-03-04 09:35:45,48,65,0,1009,67.197,32.5,6,195,0,0,1.277,7.815
2025-03-04 09:35:47,63,108,0,1005.519,66.828,54,6,324,0,0,0.898,8.306
2025-03-04 09:35:49,86,144,0,1012.368,66.973,72,6,432,0,0,0.653,7.66
2025-03-04 09:35:51,107,188,0,1002.346,63.549,94,6,564,0,0,0.505,7.245
2025-03-04 09:35:53,128,234,0,1011.671,68.099,117,6,702,0,0,0.487,8.927
2025-03-04 09:35:55,151,277,0,1003.148,67.931,138.5,6,831,0,0,0.448,6.368
2025-03-04 09:35:57,187,591,0,1013.134,62.946,295.5,6,1773,0,0,0.384,4.805
2025-03-04 09:35:59,208,393,0,1010.72,65.591,196.5,6,1179,0,0,0.42,7.847
2025-03-04 09:36:01,229,436,0,1008.317,64.325,218,6,1308,0,0,0.36,8.181
2025-03-04 09:36:03,250,470,0,1011.26,67.709,235,6,1410,0,0,0.302,9.494
2025-03-04 09:36:05,272,521,0,1005.848,66.528,260.5,6,1563,0,0,0.361,8.541
2025-03-04 09:36:07,292,557,0,1010.013,65.142,278.5,6,1671,0,0,0.336,8.937
2025-03-04 09:36:09,315,606,0,1010.5,64.425,303,6,1818,0,0,0.299,10.916
2025-03-04 09:36:11,335,633,0,1013.306,64.127,316.5,6,1899,0,0,0.343,10.765
2025-03-04 09:36:13,356,687,0,1012.354,66.827,343.5,6,2061,0,0,0.304,9.323
2025-03-04 09:36:15,382,722,0,1011.465,66.314,361,6,2166,0,0,0.277,13.629
2025-03-04 09:36:17,400,764,0,1018.099,67.264,382,6,2292,0,0,0.287,13.558
2025-03-04 09:36:19,420,798,0,1018.762,66.982,399,6,2394,0,0,0.243,17.832
2025-03-04 09:36:21,442,841,0,1029.98,70.009,420.5,6,2523,0,0,0.268,27.742
2025-03-04 09:36:23,462,855,0,1045.209,72.65,427.5,6,2565,0,0,0.257,48.456
2025-03-04 09:36:25,485,870,0,1089.583,78.857,435,6,2610,0,0,0.275,88.723
2025-03-04 09:36:27,507,1364,0,1139.463,76.302,682,6,4092,0,0,0.224,98.463
