DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 04:58:47,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.10%,"106.6MiB / 15.51GiB",0.67%,"343MB / 402MB","0B / 0B",40
2025-03-04 04:58:47,568208e4829c,reverse-proxy-agent-1,568208e4829c,1509.33%,"2.265GiB / 15.51GiB",14.60%,"230MB / 205MB","0B / 0B",1312
2025-03-04 04:58:47,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.93%,"873.6MiB / 15.51GiB",5.50%,"21.6MB / 89.3MB","0B / 0B",254
2025-03-04 04:58:47,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.10%,"201MiB / 1GiB",19.63%,"239MB / 140MB","0B / 0B",60
2025-03-04 04:58:59,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,5.27%,"107.9MiB / 15.51GiB",0.68%,"343MB / 403MB","0B / 0B",40
2025-03-04 04:58:59,568208e4829c,reverse-proxy-agent-1,568208e4829c,61.17%,"2.321GiB / 15.51GiB",14.96%,"230MB / 206MB","0B / 0B",1549
2025-03-04 04:58:59,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.02%,"874.5MiB / 15.51GiB",5.51%,"21.8MB / 89.4MB","0B / 0B",254
2025-03-04 04:58:59,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,72.15%,"191.8MiB / 1GiB",18.74%,"239MB / 140MB","0B / 0B",27
2025-03-04 04:59:11,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.42%,"110.6MiB / 15.51GiB",0.70%,"346MB / 406MB","0B / 0B",40
2025-03-04 04:59:11,568208e4829c,reverse-proxy-agent-1,568208e4829c,87.61%,"2.362GiB / 15.51GiB",15.23%,"232MB / 208MB","0B / 0B",1547
2025-03-04 04:59:11,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.92%,"875.3MiB / 15.51GiB",5.51%,"21.9MB / 89.4MB","0B / 0B",254
2025-03-04 04:59:11,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,124.20%,"198.5MiB / 1GiB",19.39%,"241MB / 141MB","0B / 0B",38
2025-03-04 04:59:23,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,12.36%,"112.1MiB / 15.51GiB",0.71%,"352MB / 412MB","0B / 0B",40
2025-03-04 04:59:23,568208e4829c,reverse-proxy-agent-1,568208e4829c,62.66%,"2.406GiB / 15.51GiB",15.52%,"234MB / 210MB","0B / 0B",1530
2025-03-04 04:59:23,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.71%,"876.1MiB / 15.51GiB",5.52%,"22.1MB / 89.5MB","0B / 0B",254
2025-03-04 04:59:23,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.38%,"239.4MiB / 1GiB",23.38%,"245MB / 143MB","0B / 0B",61
2025-03-04 04:59:35,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.63%,"114MiB / 15.51GiB",0.72%,"357MB / 418MB","0B / 0B",40
2025-03-04 04:59:35,568208e4829c,reverse-proxy-agent-1,568208e4829c,83.69%,"2.594GiB / 15.51GiB",16.73%,"236MB / 213MB","0B / 0B",1530
2025-03-04 04:59:35,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.75%,"876.8MiB / 15.51GiB",5.52%,"22.3MB / 89.5MB","0B / 0B",254
2025-03-04 04:59:35,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.22%,"243.8MiB / 1GiB",23.81%,"248MB / 145MB","0B / 0B",60
2025-03-04 04:59:47,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,50.69%,"115.8MiB / 15.51GiB",0.73%,"361MB / 424MB","0B / 0B",40
2025-03-04 04:59:47,568208e4829c,reverse-proxy-agent-1,568208e4829c,54.04%,"2.783GiB / 15.51GiB",17.95%,"238MB / 216MB","0B / 0B",1530
2025-03-04 04:59:47,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.72%,"877.4MiB / 15.51GiB",5.53%,"22.5MB / 89.6MB","0B / 0B",254
2025-03-04 04:59:47,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.30%,"246.1MiB / 1GiB",24.04%,"252MB / 147MB","0B / 0B",60
2025-03-04 04:59:59,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,51.88%,"116.3MiB / 15.51GiB",0.73%,"366MB / 429MB","0B / 0B",40
2025-03-04 04:59:59,568208e4829c,reverse-proxy-agent-1,568208e4829c,75.21%,"2.863GiB / 15.51GiB",18.46%,"239MB / 218MB","0B / 0B",1530
2025-03-04 04:59:59,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.60%,"878.3MiB / 15.51GiB",5.53%,"22.6MB / 89.6MB","0B / 0B",254
2025-03-04 04:59:59,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.89%,"243.8MiB / 1GiB",23.81%,"255MB / 149MB","0B / 0B",60
2025-03-04 05:00:11,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.56%,"114.9MiB / 15.51GiB",0.72%,"371MB / 435MB","0B / 0B",40
2025-03-04 05:00:11,568208e4829c,reverse-proxy-agent-1,568208e4829c,96.97%,"2.909GiB / 15.51GiB",18.76%,"241MB / 221MB","0B / 0B",1530
2025-03-04 05:00:11,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.73%,"878.9MiB / 15.51GiB",5.53%,"22.8MB / 89.7MB","0B / 0B",254
2025-03-04 05:00:11,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.09%,"229.3MiB / 1GiB",22.40%,"258MB / 151MB","0B / 0B",60
2025-03-04 05:00:23,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.40%,"116.8MiB / 15.51GiB",0.74%,"375MB / 440MB","0B / 0B",40
2025-03-04 05:00:23,568208e4829c,reverse-proxy-agent-1,568208e4829c,31.50%,"2.935GiB / 15.51GiB",18.93%,"244MB / 224MB","0B / 0B",1532
2025-03-04 05:00:23,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.68%,"879.8MiB / 15.51GiB",5.54%,"23MB / 89.7MB","0B / 0B",254
2025-03-04 05:00:23,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,143.25%,"225.4MiB / 1GiB",22.01%,"262MB / 153MB","0B / 0B",60
2025-03-04 05:00:35,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.57%,"116.8MiB / 15.51GiB",0.74%,"380MB / 446MB","0B / 0B",40
2025-03-04 05:00:35,568208e4829c,reverse-proxy-agent-1,568208e4829c,33.90%,"3.081GiB / 15.51GiB",19.86%,"246MB / 227MB","0B / 0B",1530
2025-03-04 05:00:35,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.63%,"880.6MiB / 15.51GiB",5.55%,"23.2MB / 89.8MB","0B / 0B",255
2025-03-04 05:00:35,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.53%,"229.2MiB / 1GiB",22.38%,"265MB / 155MB","0B / 0B",60
2025-03-04 05:00:47,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.21%,"113.2MiB / 15.51GiB",0.71%,"384MB / 450MB","0B / 0B",40
2025-03-04 05:00:47,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.17%,"254.9MiB / 15.51GiB",1.61%,"248MB / 229MB","0B / 0B",46
2025-03-04 05:00:47,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.79%,"880.2MiB / 15.51GiB",5.54%,"23.3MB / 89.8MB","0B / 0B",243
2025-03-04 05:00:47,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.16%,"218MiB / 1GiB",21.29%,"268MB / 157MB","0B / 0B",60
