Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740725681,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.09%,"102.3MiB / 15.51GiB",0.64%,"769MB / 894MB","0B / 0B",40
1740725681,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,0.11%,"265.4MiB / 15.51GiB",1.67%,"419MB / 465MB","0B / 0B",37
1740725681,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.61%,"813.8MiB / 15.51GiB",5.12%,"47.6MB / 97.5MB","0B / 0B",238
1740725681,e192d5341051,reverse-proxy-api-1,e192d5341051,0.10%,"158.6MiB / 1GiB",15.49%,"511MB / 293MB","0B / 0B",21
1740725692,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,1.11%,"102.3MiB / 15.51GiB",0.64%,"769MB / 895MB","0B / 0B",40
1740725692,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,24.30%,"2.195GiB / 15.51GiB",14.16%,"419MB / 465MB","0B / 0B",867
1740725692,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.88%,"816.3MiB / 15.51GiB",5.14%,"47.7MB / 97.5MB","0B / 0B",252
1740725692,e192d5341051,reverse-proxy-api-1,e192d5341051,11.61%,"158.6MiB / 1GiB",15.49%,"511MB / 293MB","0B / 0B",22
1740725704,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,5.56%,"102.5MiB / 15.51GiB",0.65%,"770MB / 896MB","0B / 0B",40
1740725704,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,46.34%,"2.257GiB / 15.51GiB",14.55%,"420MB / 466MB","0B / 0B",880
1740725704,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.79%,"816.7MiB / 15.51GiB",5.14%,"47.9MB / 97.6MB","0B / 0B",251
1740725704,e192d5341051,reverse-proxy-api-1,e192d5341051,78.58%,"157.4MiB / 1GiB",15.37%,"511MB / 293MB","0B / 0B",28
1740725716,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,8.47%,"102.6MiB / 15.51GiB",0.65%,"773MB / 899MB","0B / 0B",40
1740725716,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,141.07%,"2.451GiB / 15.51GiB",15.80%,"421MB / 468MB","0B / 0B",873
1740725716,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.62%,"817.6MiB / 15.51GiB",5.15%,"48.1MB / 97.6MB","0B / 0B",250
1740725716,e192d5341051,reverse-proxy-api-1,e192d5341051,103.78%,"168.5MiB / 1GiB",16.46%,"513MB / 294MB","0B / 0B",36
1740725726,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.10%,"103MiB / 15.51GiB",0.65%,"777MB / 904MB","0B / 0B",40
1740725726,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,54.17%,"2.441GiB / 15.51GiB",15.74%,"423MB / 471MB","0B / 0B",851
1740725726,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.49%,"819MiB / 15.51GiB",5.16%,"48.2MB / 97.7MB","0B / 0B",250
1740725726,e192d5341051,reverse-proxy-api-1,e192d5341051,122.06%,"169.4MiB / 1GiB",16.55%,"516MB / 296MB","0B / 0B",47
1740725738,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,10.60%,"103.3MiB / 15.51GiB",0.65%,"782MB / 909MB","0B / 0B",40
1740725738,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,47.89%,"2.489GiB / 15.51GiB",16.05%,"425MB / 473MB","0B / 0B",851
1740725738,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.70%,"819.5MiB / 15.51GiB",5.16%,"48.4MB / 97.7MB","0B / 0B",250
1740725738,e192d5341051,reverse-proxy-api-1,e192d5341051,124.19%,"169.2MiB / 1GiB",16.53%,"518MB / 297MB","0B / 0B",49
1740725750,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,10.51%,"103.6MiB / 15.51GiB",0.65%,"786MB / 913MB","0B / 0B",40
1740725750,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,39.56%,"2.525GiB / 15.51GiB",16.28%,"427MB / 476MB","0B / 0B",851
1740725750,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.74%,"820MiB / 15.51GiB",5.16%,"48.6MB / 97.8MB","0B / 0B",250
1740725750,e192d5341051,reverse-proxy-api-1,e192d5341051,125.09%,"179.4MiB / 1GiB",17.52%,"521MB / 299MB","0B / 0B",59
1740725760,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,12.16%,"103.9MiB / 15.51GiB",0.65%,"790MB / 918MB","0B / 0B",40
1740725760,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,56.57%,"2.689GiB / 15.51GiB",17.34%,"428MB / 478MB","0B / 0B",851
1740725760,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.61%,"820.7MiB / 15.51GiB",5.17%,"48.7MB / 97.8MB","0B / 0B",251
1740725760,e192d5341051,reverse-proxy-api-1,e192d5341051,131.07%,"178MiB / 1GiB",17.38%,"524MB / 300MB","0B / 0B",61
1740725772,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.64%,"104.1MiB / 15.51GiB",0.66%,"794MB / 923MB","0B / 0B",40
1740725772,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,46.67%,"2.771GiB / 15.51GiB",17.87%,"430MB / 481MB","0B / 0B",851
