Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740724697,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.16%,"100.3MiB / 15.51GiB",0.63%,"556MB / 649MB","0B / 0B",40
1740724697,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,0.07%,"265MiB / 15.51GiB",1.67%,"324MB / 338MB","0B / 0B",37
1740724697,b424db67d982,reverse-proxy-controller-1,b424db67d982,15.03%,"815.5MiB / 15.51GiB",5.14%,"38.3MB / 94.1MB","0B / 0B",236
1740724697,e192d5341051,reverse-proxy-api-1,e192d5341051,0.10%,"165.6MiB / 1GiB",16.17%,"375MB / 216MB","0B / 0B",21
1740724707,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.28%,"100.3MiB / 15.51GiB",0.63%,"556MB / 649MB","0B / 0B",40
1740724707,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,56.94%,"2.205GiB / 15.51GiB",14.22%,"324MB / 338MB","0B / 0B",886
1740724707,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.03%,"817.8MiB / 15.51GiB",5.15%,"38.4MB / 94.1MB","0B / 0B",250
1740724707,e192d5341051,reverse-proxy-api-1,e192d5341051,1.52%,"165.6MiB / 1GiB",16.17%,"375MB / 216MB","0B / 0B",21
1740724719,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,5.30%,"100.4MiB / 15.51GiB",0.63%,"557MB / 650MB","0B / 0B",40
1740724719,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,66.11%,"2.325GiB / 15.51GiB",14.99%,"325MB / 338MB","0B / 0B",894
1740724719,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.90%,"818.6MiB / 15.51GiB",5.15%,"38.6MB / 94.2MB","0B / 0B",250
1740724719,e192d5341051,reverse-proxy-api-1,e192d5341051,63.85%,"170.8MiB / 1GiB",16.68%,"375MB / 216MB","0B / 0B",37
1740724729,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,8.23%,"101.2MiB / 15.51GiB",0.64%,"560MB / 653MB","0B / 0B",40
1740724729,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,69.64%,"2.455GiB / 15.51GiB",15.83%,"326MB / 340MB","0B / 0B",876
1740724729,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.90%,"819.4MiB / 15.51GiB",5.16%,"38.7MB / 94.2MB","0B / 0B",250
1740724729,e192d5341051,reverse-proxy-api-1,e192d5341051,99.50%,"171.5MiB / 1GiB",16.75%,"377MB / 217MB","0B / 0B",38
1740724741,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.71%,"101.6MiB / 15.51GiB",0.64%,"564MB / 658MB","0B / 0B",40
