DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 02:53:12,46,48,0,1026.083,83.55,24,6,144,0,0,4.333,11.25
2025-03-04 02:53:14,83,131,0,999.389,69.587,65.5,6,393,0,0,0.802,7.153
2025-03-04 02:53:16,127,211,0,1007.749,68.174,105.5,6,633,0,0,0.682,10.033
2025-03-04 02:53:18,164,290,0,1012.597,61.288,145,6,870,0,0,0.545,8.031
2025-03-04 02:53:20,203,254,0,1015.335,62.67,127,6,762,0,0,0.461,10.701
2025-03-04 02:53:22,242,424,0,1009.71,64.736,212,6,1272,0,0,0.41,10.342
2025-03-04 02:53:24,285,501,0,1009.152,70.779,250.5,6,1503,0,0,0.413,8.287
2025-03-04 02:53:26,322,591,0,1009.822,67.031,295.5,6,1773,0,0,0.337,9.206
2025-03-04 02:53:28,364,649,0,1014.915,62.867,324.5,6,1947,0,0,0.307,12.111
2025-03-04 02:53:30,406,738,0,1013.648,66.176,369,6,2214,0,0,0.325,14.058
2025-03-04 02:53:32,444,815,0,1013.329,65.187,407.5,6,2445,0,0,0.325,11.728
2025-03-04 02:53:34,485,892,0,1023.157,70.22,446,6,2676,0,0,0.248,25.307
2025-03-04 02:53:36,525,919,0,1062.62,73.097,459.5,6,2757,0,0,0.245,60.091
2025-03-04 02:53:38,566,904,0,1156.528,75.546,452,6,2712,0,0,0.24,152.896
2025-03-04 02:53:40,605,917,0,1228.449,75.364,458.5,6,2751,0,0,0.227,228.314
2025-03-04 02:53:42,643,930,0,1292.018,76.033,465,6,2790,0,0,0.238,291.571
2025-03-04 02:53:44,683,927,0,1373.738,73.19,463.5,6,2781,0,0,0.231,374.741
2025-03-04 02:53:46,724,945,0,1448.566,74.951,472.5,6,2835,0,0,0.196,451.595
2025-03-04 02:53:48,766,938,0,1521.419,75.418,469,6,2814,0,0,0.224,523.682
2025-03-04 02:53:50,805,914,0,1613.826,83.182,457,6,2742,0,0,0.219,615.963
2025-03-04 02:53:52,843,917,0,1721.971,75.59,458.5,6,2751,0,0,0.206,723.327
2025-03-04 02:53:54,884,867,0,1870.561,86.693,433.5,6,2601,0,0,0.249,871.276
2025-03-04 02:53:56,922,863,0,1977.165,83.299,431.5,6,2589,0,0,0.243,978.287
2025-03-04 02:53:58,964,872,0,2101.284,72.118,436,6,2616,0,0,0.249,1099.284
2025-03-04 02:54:00,1004,872,0,2148.716,72.43,436,6,2616,0,0,0.249,1145.32
2025-03-04 02:54:02,1045,860,0,2252.53,82.246,430,6,2580,0,0,0.226,1253.669
2025-03-04 02:54:04,1084,893,0,2340.3,70.559,446.5,6,2679,0,0,0.25,1337.711
2025-03-04 02:54:06,1122,867,0,2413.271,80.336,433.5,6,2601,0,0,0.24,1413.284
2025-03-04 02:54:08,1164,833,0,2586.778,78.291,416.5,6,2499,0,0,0.267,1586.339
2025-03-04 02:54:10,1204,864,0,2660.753,72.414,432,6,2592,0,0,0.248,1661.867
2025-03-04 02:54:12,1246,838,0,2720.117,75.387,419,6,2514,0,0,0.696,1720.081
2025-03-04 02:54:14,1286,857,0,2855.536,77.011,428.5,6,2571,0,0,0.583,1856.9
2025-03-04 02:54:16,1322,861,0,2915.652,70.921,430.5,6,2583,0,0,0.566,1914.861
2025-03-04 02:54:18,1362,834,0,2997.912,92.78,417,6,2502,0,0,0.242,2001.942
2025-03-04 02:54:20,1403,859,0,3137.317,78.372,429.5,6,2577,0,0,0.27,2139.488
2025-03-04 02:54:22,1446,864,0,3194.778,71.488,432,6,2592,0,0,0.229,2192.191
2025-03-04 02:54:24,1483,841,0,3265.451,85.565,420.5,6,2523,0,0,0.214,2266.78
2025-03-04 02:54:26,1523,824,132,3387.985,93.672,412,6,2472,0,0,0.267,2389.805
2025-03-04 02:54:28,1566,857,107,3519.351,86.281,428.5,6,2571,0,0,0.247,2521.005
2025-03-04 02:54:30,1597,818,598,3295.346,240.773,409,6,2454,0,0,0.209,2304.634
2025-03-04 02:54:32,1600,588,1361,4047.043,254.363,294,6,1764,0,0,0.223,3076.706
2025-03-04 02:54:34,1600,845,54,2622.263,623.142,422.5,6,2535,0,0,0.231,1625.283
2025-03-04 02:54:36,1600,659,1365,3664.997,421.852,329.5,6,1977,0,0,0.188,2674.256
2025-03-04 02:54:38,1600,771,527,3372.527,1152.474,385.5,6,2313,0,0,0.228,2383.686
2025-03-04 02:54:40,1600,855,76,2889.022,407.001,427.5,6,2565,0,0,0.165,1891.802
2025-03-04 02:54:42,1600,770,1003,3780.527,114.995,385,6,2310,0,0,0.175,2786.834
2025-03-04 02:54:44,1600,883,0,3059.925,738.749,441.5,6,2649,0,0,0.205,2061.646
2025-03-04 02:54:46,1600,896,279,3344.153,245.061,448,6,2688,0,0,0.198,2343.08
2025-03-04 02:54:48,1600,824,450,3668.941,154.802,412,6,2472,0,0,0.229,2671.205
2025-03-04 02:54:50,1600,936,0,2980.833,343.709,468,6,2808,0,0,0.199,1981.051
2025-03-04 02:54:52,1600,858,469,3513.071,84.057,429,6,2574,0,0,0.17,2510.288
2025-03-04 02:54:54,1600,883,0,3426.549,387.955,441.5,6,2649,0,0,0.224,2427.595
2025-03-04 02:54:56,1600,916,0,3304.694,237.538,458,6,2748,0,0,0.199,2303.171
2025-03-04 02:54:58,1600,806,346,3570.481,109.172,403,6,2418,0,0,0.169,2571.6
2025-03-04 02:55:00,1600,912,0,3406.505,324.638,456,6,2736,0,0,0.212,2403.9
2025-03-04 02:55:02,1600,822,269,3655.582,137.781,411,6,2466,0,0,0.193,2653.039
