DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 05:10:40,48,41,0,994.171,59.484,20.5,6,123,0,0,3.659,11.22
2025-03-04 05:10:42,86,114,0,1017.816,66.918,57,6,342,0,0,0.851,7.342
2025-03-04 05:10:44,127,195,0,999.026,66.221,97.5,6,585,0,0,0.636,8.072
2025-03-04 05:10:46,168,272,0,1009.29,67.598,136,6,816,0,0,0.5,7.548
2025-03-04 05:10:48,208,354,0,1014.347,64.898,177,6,1062,0,0,0.475,8.102
2025-03-04 05:10:50,249,438,0,1010.566,65.83,219,6,1314,0,0,0.422,8.699
2025-03-04 05:10:52,288,512,0,1006.658,67.926,256,6,1536,0,0,0.381,9.176
2025-03-04 05:10:54,327,590,0,1009.783,63.773,295,6,1770,0,0,0.336,11.739
2025-03-04 05:10:56,372,663,0,1011.002,65.42,331.5,6,1989,0,0,0.351,9.732
2025-03-04 05:10:58,411,761,0,1014.158,62.393,380.5,6,2283,0,0,0.285,12.152
2025-03-04 05:11:00,448,829,0,1008.195,66.994,414.5,6,2487,0,0,0.304,12.449
2025-03-04 05:11:02,487,897,0,1022.734,64.969,448.5,6,2691,0,0,0.282,22.92
2025-03-04 05:11:04,530,917,0,1067.971,74.746,458.5,6,2751,0,0,0.242,68.688
2025-03-04 05:11:06,568,900,0,1158.586,77.207,450,6,2700,0,0,0.24,156.213
2025-03-04 05:11:08,609,914,0,1247.85,72.289,457,6,2742,0,0,0.237,248.737
2025-03-04 05:11:10,651,911,0,1314.393,73.243,455.5,6,2733,0,0,0.234,315.255
2025-03-04 05:11:12,689,907,0,1404.022,76.664,453.5,6,2721,0,0,0.234,407.112
2025-03-04 05:11:14,725,922,0,1501.148,75.583,461,6,2766,0,0,0.259,497.964
2025-03-04 05:11:16,769,919,0,1559.561,73.034,459.5,6,2757,0,0,0.245,556.668
2025-03-04 05:11:18,810,906,0,1643.912,82.508,453,6,2718,0,0,0.234,645.29
2025-03-04 05:11:20,852,888,0,1769.372,73.352,444,6,2664,0,0,0.256,772.461
2025-03-04 05:11:22,890,844,0,1915.937,93.737,422,6,2532,0,0,0.242,914.427
2025-03-04 05:11:24,931,848,0,2070.363,86.551,424,6,2544,0,0,0.243,1068.866
2025-03-04 05:11:26,968,850,0,2150.402,71.516,425,6,2550,0,0,0.234,1148.168
2025-03-04 05:11:28,1000,853,0,2223.495,79.136,426.5,6,2559,0,0,0.285,1223.026
2025-03-04 05:11:30,1000,848,0,2363.006,81.122,424,6,2544,0,0,0.243,1361.619
2025-03-04 05:11:32,1000,884,0,2273.56,86.583,442,6,2652,0,0,0.269,1273.103
