DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 04:58:53,51,43,0,1016.209,70.685,21.5,6,129,0,0,5.581,14.674
2025-03-04 04:58:55,97,161,0,1011.913,66.122,80.5,6,483,0,0,0.783,9.012
2025-03-04 04:58:57,140,215,0,1016.442,67.398,107.5,6,645,0,0,0.567,9.526
2025-03-04 04:58:59,178,300,0,1010.2,67.555,150,6,900,0,0,0.503,8.753
2025-03-04 04:59:01,209,277,0,1006.123,64.502,138.5,6,831,0,0,0.448,8.502
2025-03-04 04:59:03,238,438,0,1011.251,63.538,219,6,1314,0,0,0.436,9.285
2025-03-04 04:59:05,279,512,0,1008.414,69.298,256,6,1536,0,0,0.395,9.092
2025-03-04 04:59:07,318,586,0,1013.863,64.896,293,6,1758,0,0,0.341,10.841
2025-03-04 04:59:09,360,674,0,1008.878,67.971,337,6,2022,0,0,0.359,9.859
2025-03-04 04:59:11,401,748,0,1014.425,64.012,374,6,2244,0,0,0.309,13.62
2025-03-04 04:59:13,438,827,0,1010.34,65.241,413.5,6,2481,0,0,0.264,11.51
2025-03-04 04:59:15,480,894,0,1023.79,67.671,447,6,2682,0,0,0.303,25.692
2025-03-04 04:59:17,522,931,0,1063.752,74.483,465.5,6,2793,0,0,0.251,66.037
2025-03-04 04:59:19,559,907,0,1173.436,74.612,453.5,6,2721,0,0,0.212,172.216
2025-03-04 04:59:21,600,929,0,1209.54,79.225,464.5,6,2787,0,0,0.229,210.396
2025-03-04 04:59:23,650,946,0,1280.114,74.595,473,6,2838,0,0,0.222,279.1
2025-03-04 04:59:25,692,915,0,1385.79,75.64,457.5,6,2745,0,0,0.22,380.737
2025-03-04 04:59:27,730,948,0,1459.118,77.222,474,6,2844,0,0,0.231,456.682
2025-03-04 04:59:29,768,923,0,1565.509,84.309,461.5,6,2769,0,0,0.235,563.194
2025-03-04 04:59:31,809,891,0,1661.175,74.043,445.5,6,2673,0,0,0.226,660.009
