DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 05:17:17,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.09%,"107MiB / 15.51GiB",0.67%,"466MB / 546MB","0B / 0B",40
2025-03-04 05:17:17,568208e4829c,reverse-proxy-agent-1,568208e4829c,1557.59%,"1.803GiB / 15.51GiB",11.63%,"283MB / 278MB","0B / 0B",460
2025-03-04 05:17:17,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.90%,"872.2MiB / 15.51GiB",5.49%,"27.9MB / 92.1MB","0B / 0B",258
2025-03-04 05:17:17,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.12%,"188.3MiB / 1GiB",18.39%,"324MB / 190MB","0B / 0B",21
2025-03-04 05:17:28,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,5.52%,"108MiB / 15.51GiB",0.68%,"466MB / 547MB","0B / 0B",40
2025-03-04 05:17:28,568208e4829c,reverse-proxy-agent-1,568208e4829c,66.39%,"2.352GiB / 15.51GiB",15.17%,"283MB / 278MB","0B / 0B",1340
2025-03-04 05:17:28,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,2.48%,"873.1MiB / 15.51GiB",5.50%,"28MB / 92.1MB","0B / 0B",258
2025-03-04 05:17:28,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,75.36%,"187.9MiB / 1GiB",18.34%,"325MB / 190MB","0B / 0B",28
2025-03-04 05:17:40,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.51%,"110.9MiB / 15.51GiB",0.70%,"469MB / 550MB","0B / 0B",40
2025-03-04 05:17:40,568208e4829c,reverse-proxy-agent-1,568208e4829c,76.19%,"2.376GiB / 15.51GiB",15.32%,"284MB / 280MB","0B / 0B",1335
2025-03-04 05:17:40,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.75%,"873.5MiB / 15.51GiB",5.50%,"28.2MB / 92.2MB","0B / 0B",257
2025-03-04 05:17:40,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,124.38%,"196.8MiB / 1GiB",19.22%,"326MB / 191MB","0B / 0B",39
2025-03-04 05:17:52,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.63%,"112.4MiB / 15.51GiB",0.71%,"474MB / 556MB","0B / 0B",40
2025-03-04 05:17:52,568208e4829c,reverse-proxy-agent-1,568208e4829c,57.46%,"2.437GiB / 15.51GiB",15.71%,"286MB / 283MB","0B / 0B",1321
2025-03-04 05:17:52,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.16%,"874.4MiB / 15.51GiB",5.51%,"28.4MB / 92.2MB","0B / 0B",257
2025-03-04 05:17:52,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,145.65%,"227.2MiB / 1GiB",22.19%,"330MB / 193MB","0B / 0B",60
2025-03-04 05:18:04,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,12.55%,"114.3MiB / 15.51GiB",0.72%,"479MB / 562MB","0B / 0B",40
2025-03-04 05:18:04,568208e4829c,reverse-proxy-agent-1,568208e4829c,114.14%,"2.578GiB / 15.51GiB",16.62%,"288MB / 286MB","0B / 0B",1321
2025-03-04 05:18:04,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.73%,"875.3MiB / 15.51GiB",5.51%,"28.6MB / 92.3MB","0B / 0B",257
2025-03-04 05:18:04,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.21%,"233.9MiB / 1GiB",22.84%,"333MB / 195MB","0B / 0B",60
2025-03-04 05:18:17,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,34.28%,"115.2MiB / 15.51GiB",0.73%,"483MB / 567MB","0B / 0B",40
2025-03-04 05:18:17,568208e4829c,reverse-proxy-agent-1,568208e4829c,49.64%,"2.697GiB / 15.51GiB",17.39%,"290MB / 288MB","0B / 0B",1322
2025-03-04 05:18:17,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.75%,"876MiB / 15.51GiB",5.52%,"28.7MB / 92.3MB","0B / 0B",257
2025-03-04 05:18:17,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,146.87%,"242.2MiB / 1GiB",23.65%,"336MB / 197MB","0B / 0B",60
2025-03-04 05:18:29,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,50.82%,"115.8MiB / 15.51GiB",0.73%,"488MB / 573MB","0B / 0B",40
