DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 04:53:01,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.89%,"899.7MiB / 15.51GiB",5.67%,"20.6MB / 88.8MB","0B / 0B",254
2025-03-04 04:53:01,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,134.39%,"234MiB / 1GiB",22.86%,"230MB / 135MB","0B / 0B",60
2025-03-04 04:53:13,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.35%,"113.1MiB / 15.51GiB",0.71%,"334MB / 392MB","0B / 0B",40
2025-03-04 04:53:13,568208e4829c,reverse-proxy-agent-1,568208e4829c,31.49%,"3.212GiB / 15.51GiB",20.71%,"226MB / 200MB","0B / 0B",1631
2025-03-04 04:53:13,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.38%,"900.7MiB / 15.51GiB",5.67%,"20.8MB / 88.8MB","0B / 0B",254
2025-03-04 04:53:13,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,146.18%,"217.4MiB / 1GiB",21.23%,"233MB / 137MB","0B / 0B",60
2025-03-04 04:53:25,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.02%,"112.9MiB / 15.51GiB",0.71%,"339MB / 398MB","0B / 0B",40
2025-03-04 04:53:25,568208e4829c,reverse-proxy-agent-1,568208e4829c,31.65%,"3.384GiB / 15.51GiB",21.82%,"228MB / 203MB","0B / 0B",1630
2025-03-04 04:53:25,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.79%,"901.2MiB / 15.51GiB",5.67%,"21MB / 88.9MB","0B / 0B",254
2025-03-04 04:53:25,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,143.51%,"221.4MiB / 1GiB",21.62%,"236MB / 138MB","0B / 0B",60
2025-03-04 04:53:37,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.10%,"108.8MiB / 15.51GiB",0.69%,"343MB / 402MB","0B / 0B",40
2025-03-04 04:53:37,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.10%,"254.9MiB / 15.51GiB",1.60%,"230MB / 205MB","0B / 0B",46
2025-03-04 04:53:37,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,2.29%,"900.9MiB / 15.51GiB",5.67%,"21.2MB / 88.9MB","0B / 0B",242
2025-03-04 04:53:37,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.11%,"201.1MiB / 1GiB",19.63%,"239MB / 140MB","0B / 0B",60
