DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 04:40:14,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.11%,"106.8MiB / 15.51GiB",0.67%,"260MB / 306MB","0B / 0B",40
2025-03-04 04:40:14,568208e4829c,reverse-proxy-agent-1,568208e4829c,1506.05%,"2.298GiB / 15.51GiB",14.82%,"193MB / 154MB","0B / 0B",1412
2025-03-04 04:40:14,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.24%,"916.5MiB / 15.51GiB",5.77%,"16.7MB / 87.4MB","0B / 0B",252
2025-03-04 04:40:14,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.12%,"180.9MiB / 1GiB",17.67%,"183MB / 107MB","0B / 0B",21
2025-03-04 04:40:28,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,5.67%,"108.1MiB / 15.51GiB",0.68%,"260MB / 307MB","0B / 0B",40
2025-03-04 04:40:28,568208e4829c,reverse-proxy-agent-1,568208e4829c,62.37%,"2.375GiB / 15.51GiB",15.31%,"193MB / 155MB","0B / 0B",1748
2025-03-04 04:40:28,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.92%,"917.9MiB / 15.51GiB",5.78%,"16.9MB / 87.4MB","0B / 0B",252
2025-03-04 04:40:28,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,71.22%,"182MiB / 1GiB",17.77%,"183MB / 107MB","0B / 0B",28
2025-03-04 04:40:40,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.39%,"110.9MiB / 15.51GiB",0.70%,"263MB / 310MB","0B / 0B",40
2025-03-04 04:40:40,568208e4829c,reverse-proxy-agent-1,568208e4829c,76.47%,"2.42GiB / 15.51GiB",15.61%,"195MB / 157MB","0B / 0B",1753
2025-03-04 04:40:40,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.79%,"919MiB / 15.51GiB",5.79%,"17.1MB / 87.5MB","0B / 0B",253
2025-03-04 04:40:40,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,126.80%,"188.8MiB / 1GiB",18.44%,"185MB / 108MB","0B / 0B",39
2025-03-04 04:40:52,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.33%,"112.3MiB / 15.51GiB",0.71%,"268MB / 316MB","0B / 0B",40
2025-03-04 04:40:52,568208e4829c,reverse-proxy-agent-1,568208e4829c,62.01%,"2.467GiB / 15.51GiB",15.91%,"197MB / 160MB","0B / 0B",1730
2025-03-04 04:40:52,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.77%,"919.8MiB / 15.51GiB",5.79%,"17.2MB / 87.5MB","0B / 0B",253
2025-03-04 04:40:52,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,146.81%,"224.2MiB / 1GiB",21.89%,"188MB / 110MB","0B / 0B",61
2025-03-04 04:41:04,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.70%,"114.2MiB / 15.51GiB",0.72%,"273MB / 322MB","0B / 0B",40
2025-03-04 04:41:04,568208e4829c,reverse-proxy-agent-1,568208e4829c,86.87%,"2.674GiB / 15.51GiB",17.24%,"199MB / 162MB","0B / 0B",1730
2025-03-04 04:41:04,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.59%,"920.9MiB / 15.51GiB",5.80%,"17.4MB / 87.6MB","0B / 0B",252
2025-03-04 04:41:04,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.48%,"238.7MiB / 1GiB",23.31%,"192MB / 112MB","0B / 0B",60
2025-03-04 04:41:16,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,46.53%,"116.2MiB / 15.51GiB",0.73%,"278MB / 327MB","0B / 0B",40
2025-03-04 04:41:16,568208e4829c,reverse-proxy-agent-1,568208e4829c,63.01%,"2.776GiB / 15.51GiB",17.90%,"201MB / 165MB","0B / 0B",1730
2025-03-04 04:41:16,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,2.30%,"921.6MiB / 15.51GiB",5.80%,"17.6MB / 87.6MB","0B / 0B",252
2025-03-04 04:41:16,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,140.31%,"239.6MiB / 1GiB",23.40%,"195MB / 114MB","0B / 0B",60
2025-03-04 04:41:28,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,50.48%,"117.7MiB / 15.51GiB",0.74%,"283MB / 333MB","0B / 0B",40
2025-03-04 04:41:28,568208e4829c,reverse-proxy-agent-1,568208e4829c,72.32%,"2.82GiB / 15.51GiB",18.18%,"203MB / 168MB","0B / 0B",1730
2025-03-04 04:41:28,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.94%,"922.6MiB / 15.51GiB",5.81%,"17.8MB / 87.7MB","0B / 0B",252
2025-03-04 04:41:28,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.17%,"242MiB / 1GiB",23.63%,"198MB / 116MB","0B / 0B",60
2025-03-04 04:41:40,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.92%,"117.1MiB / 15.51GiB",0.74%,"287MB / 338MB","0B / 0B",40
2025-03-04 04:41:40,568208e4829c,reverse-proxy-agent-1,568208e4829c,72.71%,"2.919GiB / 15.51GiB",18.82%,"205MB / 170MB","0B / 0B",1730
2025-03-04 04:41:40,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.79%,"923.2MiB / 15.51GiB",5.81%,"17.9MB / 87.7MB","0B / 0B",250
2025-03-04 04:41:40,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,146.68%,"237.5MiB / 1GiB",23.19%,"202MB / 118MB","0B / 0B",60
2025-03-04 04:41:52,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.24%,"117.9MiB / 15.51GiB",0.74%,"292MB / 344MB","0B / 0B",40
2025-03-04 04:41:52,568208e4829c,reverse-proxy-agent-1,568208e4829c,40.25%,"2.999GiB / 15.51GiB",19.34%,"207MB / 173MB","0B / 0B",1730
2025-03-04 04:41:52,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.88%,"924.1MiB / 15.51GiB",5.82%,"18.1MB / 87.8MB","0B / 0B",250
2025-03-04 04:41:52,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,145.40%,"220MiB / 1GiB",21.49%,"205MB / 120MB","0B / 0B",60
2025-03-04 04:42:04,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,12.75%,"117.9MiB / 15.51GiB",0.74%,"297MB / 349MB","0B / 0B",40
2025-03-04 04:42:04,568208e4829c,reverse-proxy-agent-1,568208e4829c,35.36%,"3.142GiB / 15.51GiB",20.26%,"209MB / 176MB","0B / 0B",1730
2025-03-04 04:42:04,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.75%,"924.8MiB / 15.51GiB",5.82%,"18.3MB / 87.9MB","0B / 0B",249
