DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 02:52:39,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.12%,"106.7MiB / 15.51GiB",0.67%,"178MB / 210MB","0B / 0B",39
2025-03-04 02:52:39,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.10%,"244.5MiB / 15.51GiB",1.54%,"156MB / 101MB","0B / 0B",36
2025-03-04 02:52:39,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,17.33%,"857.4MiB / 15.51GiB",5.40%,"9.65MB / 85.5MB","0B / 0B",236
2025-03-04 02:52:39,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.09%,"126.9MiB / 1GiB",12.39%,"126MB / 73.8MB","0B / 0B",60
2025-03-04 02:52:53,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.15%,"106.7MiB / 15.51GiB",0.67%,"178MB / 210MB","0B / 0B",39
2025-03-04 02:52:53,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.15%,"244.5MiB / 15.51GiB",1.54%,"156MB / 101MB","0B / 0B",36
2025-03-04 02:52:53,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.52%,"858.1MiB / 15.51GiB",5.40%,"9.67MB / 85.5MB","0B / 0B",236
2025-03-04 02:52:53,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.13%,"126.9MiB / 1GiB",12.39%,"126MB / 73.8MB","0B / 0B",60
2025-03-04 02:53:05,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.17%,"106.7MiB / 15.51GiB",0.67%,"178MB / 210MB","0B / 0B",39
2025-03-04 02:53:05,568208e4829c,reverse-proxy-agent-1,568208e4829c,1579.11%,"1.814GiB / 15.51GiB",11.70%,"156MB / 101MB","0B / 0B",454
2025-03-04 02:53:05,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.09%,"860.5MiB / 15.51GiB",5.42%,"9.72MB / 85.5MB","0B / 0B",250
2025-03-04 02:53:05,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.10%,"135.3MiB / 1GiB",13.22%,"126MB / 73.8MB","0B / 0B",60
2025-03-04 02:53:17,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,5.30%,"107.6MiB / 15.51GiB",0.68%,"178MB / 210MB","0B / 0B",39
2025-03-04 02:53:17,568208e4829c,reverse-proxy-agent-1,568208e4829c,82.85%,"2.518GiB / 15.51GiB",16.24%,"157MB / 101MB","0B / 0B",2045
2025-03-04 02:53:17,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,3.63%,"862MiB / 15.51GiB",5.43%,"9.88MB / 85.5MB","0B / 0B",250
2025-03-04 02:53:17,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,76.94%,"128.9MiB / 1GiB",12.59%,"126MB / 73.9MB","0B / 0B",28
2025-03-04 02:53:29,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,9.72%,"110.7MiB / 15.51GiB",0.70%,"181MB / 214MB","0B / 0B",39
2025-03-04 02:53:29,568208e4829c,reverse-proxy-agent-1,568208e4829c,95.24%,"2.555GiB / 15.51GiB",16.47%,"158MB / 103MB","0B / 0B",2047
2025-03-04 02:53:29,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.99%,"862.9MiB / 15.51GiB",5.43%,"10.1MB / 85.6MB","0B / 0B",250
2025-03-04 02:53:29,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,121.81%,"146.4MiB / 1GiB",14.30%,"128MB / 74.8MB","0B / 0B",39
2025-03-04 02:53:41,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,12.13%,"112.2MiB / 15.51GiB",0.71%,"186MB / 220MB","0B / 0B",39
2025-03-04 02:53:41,568208e4829c,reverse-proxy-agent-1,568208e4829c,61.82%,"2.599GiB / 15.51GiB",16.76%,"160MB / 106MB","0B / 0B",2030
2025-03-04 02:53:41,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,3.18%,"863.6MiB / 15.51GiB",5.44%,"10.2MB / 85.6MB","0B / 0B",249
2025-03-04 02:53:41,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,146.11%,"193.2MiB / 1GiB",18.86%,"131MB / 76.8MB","0B / 0B",61
2025-03-04 02:53:53,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,12.08%,"114.1MiB / 15.51GiB",0.72%,"191MB / 226MB","0B / 0B",39
2025-03-04 02:53:53,568208e4829c,reverse-proxy-agent-1,568208e4829c,112.17%,"2.742GiB / 15.51GiB",17.68%,"162MB / 109MB","0B / 0B",2030
2025-03-04 02:53:53,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.28%,"864.5MiB / 15.51GiB",5.44%,"10.4MB / 85.7MB","0B / 0B",249
2025-03-04 02:53:53,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.88%,"198.9MiB / 1GiB",19.42%,"135MB / 78.9MB","0B / 0B",60
2025-03-04 02:54:05,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,50.62%,"115.9MiB / 15.51GiB",0.73%,"196MB / 231MB","0B / 0B",39
2025-03-04 02:54:05,568208e4829c,reverse-proxy-agent-1,568208e4829c,57.59%,"2.876GiB / 15.51GiB",18.54%,"164MB / 112MB","0B / 0B",2030
2025-03-04 02:54:05,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.07%,"865.2MiB / 15.51GiB",5.45%,"10.6MB / 85.7MB","0B / 0B",249
2025-03-04 02:54:05,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.11%,"203.6MiB / 1GiB",19.88%,"138MB / 80.9MB","0B / 0B",60
2025-03-04 02:54:17,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,55.25%,"117.8MiB / 15.51GiB",0.74%,"201MB / 237MB","0B / 0B",39
2025-03-04 02:54:17,568208e4829c,reverse-proxy-agent-1,568208e4829c,56.87%,"2.959GiB / 15.51GiB",19.08%,"166MB / 114MB","0B / 0B",2030
2025-03-04 02:54:17,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.26%,"866.3MiB / 15.51GiB",5.46%,"10.8MB / 85.8MB","0B / 0B",249
2025-03-04 02:54:17,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,143.04%,"212MiB / 1GiB",20.70%,"142MB / 82.9MB","0B / 0B",60
2025-03-04 02:54:29,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,6.24%,"115.3MiB / 15.51GiB",0.73%,"205MB / 242MB","0B / 0B",39
2025-03-04 02:54:29,568208e4829c,reverse-proxy-agent-1,568208e4829c,150.71%,"3.12GiB / 15.51GiB",20.12%,"168MB / 117MB","0B / 0B",2034
2025-03-04 02:54:29,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.15%,"867.6MiB / 15.51GiB",5.46%,"10.9MB / 85.8MB","0B / 0B",249
2025-03-04 02:54:29,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,102.80%,"198.3MiB / 1GiB",19.37%,"145MB / 84.6MB","0B / 0B",60
2025-03-04 02:54:41,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.60%,"119MiB / 15.51GiB",0.75%,"210MB / 247MB","0B / 0B",39
2025-03-04 02:54:41,568208e4829c,reverse-proxy-agent-1,568208e4829c,37.24%,"3.251GiB / 15.51GiB",20.96%,"171MB / 121MB","0B / 0B",2035
2025-03-04 02:54:41,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.91%,"868.7MiB / 15.51GiB",5.47%,"11.1MB / 85.9MB","0B / 0B",250
2025-03-04 02:54:41,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.43%,"193.4MiB / 1GiB",18.88%,"148MB / 86.5MB","0B / 0B",60
2025-03-04 02:54:53,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,19.79%,"119.4MiB / 15.51GiB",0.75%,"215MB / 253MB","0B / 0B",39
2025-03-04 02:54:53,568208e4829c,reverse-proxy-agent-1,568208e4829c,32.78%,"3.409GiB / 15.51GiB",21.98%,"173MB / 124MB","0B / 0B",2030
2025-03-04 02:54:53,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.02%,"869.5MiB / 15.51GiB",5.48%,"11.3MB / 85.9MB","0B / 0B",250
2025-03-04 02:54:53,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,146.65%,"203.1MiB / 1GiB",19.83%,"152MB / 88.6MB","0B / 0B",60
2025-03-04 02:55:05,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,2.86%,"113.2MiB / 15.51GiB",0.71%,"219MB / 258MB","0B / 0B",39
2025-03-04 02:55:05,568208e4829c,reverse-proxy-agent-1,568208e4829c,42.56%,"246.1MiB / 15.51GiB",1.55%,"175MB / 126MB","0B / 0B",46
2025-03-04 02:55:05,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.80%,"871.3MiB / 15.51GiB",5.49%,"11.5MB / 86MB","0B / 0B",250
2025-03-04 02:55:05,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,35.62%,"193.6MiB / 1GiB",18.90%,"154MB / 90.4MB","0B / 0B",60
2025-03-04 02:55:17,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.11%,"112.7MiB / 15.51GiB",0.71%,"219MB / 258MB","0B / 0B",39
2025-03-04 02:55:17,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.09%,"245.9MiB / 15.51GiB",1.55%,"175MB / 126MB","0B / 0B",46
2025-03-04 02:55:17,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.75%,"870.7MiB / 15.51GiB",5.48%,"11.5MB / 86MB","0B / 0B",238
2025-03-04 02:55:17,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.11%,"193.5MiB / 1GiB",18.90%,"154MB / 90.4MB","0B / 0B",60
2025-03-04 02:55:29,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.21%,"112.1MiB / 15.51GiB",0.71%,"219MB / 258MB","0B / 0B",39
2025-03-04 02:55:29,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.12%,"245.9MiB / 15.51GiB",1.55%,"175MB / 126MB","0B / 0B",46
2025-03-04 02:55:29,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.66%,"871.4MiB / 15.51GiB",5.49%,"11.5MB / 86MB","0B / 0B",238
2025-03-04 02:55:29,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.17%,"198MiB / 1GiB",19.34%,"154MB / 90.4MB","0B / 0B",60
2025-03-04 02:55:42,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.12%,"111.4MiB / 15.51GiB",0.70%,"219MB / 258MB","0B / 0B",39
2025-03-04 02:55:42,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.14%,"245.9MiB / 15.51GiB",1.55%,"175MB / 126MB","0B / 0B",46
2025-03-04 02:55:42,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.98%,"871.8MiB / 15.51GiB",5.49%,"11.5MB / 86MB","0B / 0B",237
2025-03-04 02:55:42,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.12%,"199.9MiB / 1GiB",19.52%,"154MB / 90.4MB","0B / 0B",60
2025-03-04 02:55:54,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.13%,"110.9MiB / 15.51GiB",0.70%,"219MB / 258MB","0B / 0B",39
2025-03-04 02:55:54,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.10%,"245.9MiB / 15.51GiB",1.55%,"175MB / 126MB","0B / 0B",46
2025-03-04 02:55:54,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.72%,"872.7MiB / 15.51GiB",5.50%,"11.5MB / 86MB","0B / 0B",237
