Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740726272,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,34.05%,"2.739GiB / 15.51GiB",17.66%,"477MB / 544MB","0B / 0B",861
1740726272,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.77%,"808.3MiB / 15.51GiB",5.09%,"53.5MB / 99.4MB","0B / 0B",251
1740726272,e192d5341051,reverse-proxy-api-1,e192d5341051,133.24%,"184.3MiB / 1GiB",18.00%,"593MB / 339MB","0B / 0B",60
1740726284,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.19%,"104.4MiB / 15.51GiB",0.66%,"904MB / 1.05GB","0B / 0B",40
1740726284,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,30.04%,"2.757GiB / 15.51GiB",17.78%,"479MB / 546MB","0B / 0B",861
1740726284,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.70%,"809.1MiB / 15.51GiB",5.09%,"53.7MB / 99.4MB","0B / 0B",251
1740726284,e192d5341051,reverse-proxy-api-1,e192d5341051,127.23%,"176.1MiB / 1GiB",17.20%,"596MB / 341MB","0B / 0B",53
1740726294,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.53%,"104.6MiB / 15.51GiB",0.66%,"908MB / 1.05GB","0B / 0B",40
1740726294,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,26.73%,"2.78GiB / 15.51GiB",17.93%,"481MB / 549MB","0B / 0B",861
1740726294,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.56%,"809.6MiB / 15.51GiB",5.10%,"53.8MB / 99.5MB","0B / 0B",251
1740726294,e192d5341051,reverse-proxy-api-1,e192d5341051,125.78%,"172.7MiB / 1GiB",16.86%,"599MB / 342MB","0B / 0B",50
1740726306,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.34%,"104.4MiB / 15.51GiB",0.66%,"912MB / 1.06GB","0B / 0B",40
1740726306,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,29.03%,"2.851GiB / 15.51GiB",18.38%,"483MB / 552MB","0B / 0B",861
1740726306,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.77%,"810.3MiB / 15.51GiB",5.10%,"54MB / 99.5MB","0B / 0B",251
1740726306,e192d5341051,reverse-proxy-api-1,e192d5341051,127.55%,"175.4MiB / 1GiB",17.13%,"602MB / 344MB","0B / 0B",50
1740726318,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,12.33%,"104.5MiB / 15.51GiB",0.66%,"917MB / 1.06GB","0B / 0B",40
1740726318,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,50.20%,"2.969GiB / 15.51GiB",19.14%,"485MB / 554MB","0B / 0B",861
1740726318,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.84%,"811.3MiB / 15.51GiB",5.11%,"54.1MB / 99.6MB","0B / 0B",252
1740726318,e192d5341051,reverse-proxy-api-1,e192d5341051,129.22%,"181.3MiB / 1GiB",17.70%,"604MB / 346MB","0B / 0B",60
1740726328,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,10.68%,"104.5MiB / 15.51GiB",0.66%,"921MB / 1.07GB","0B / 0B",40
1740726328,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,77.56%,"3.061GiB / 15.51GiB",19.74%,"487MB / 557MB","0B / 0B",861
1740726328,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.72%,"812.3MiB / 15.51GiB",5.12%,"54.3MB / 99.6MB","0B / 0B",252
1740726328,e192d5341051,reverse-proxy-api-1,e192d5341051,132.30%,"178.7MiB / 1GiB",17.45%,"607MB / 347MB","0B / 0B",61
1740726340,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.55%,"104.4MiB / 15.51GiB",0.66%,"925MB / 1.07GB","0B / 0B",40
1740726340,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,25.71%,"3.184GiB / 15.51GiB",20.53%,"489MB / 559MB","0B / 0B",861
1740726340,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.87%,"813.5MiB / 15.51GiB",5.12%,"54.5MB / 99.7MB","0B / 0B",252
1740726340,e192d5341051,reverse-proxy-api-1,e192d5341051,121.96%,"188.1MiB / 1GiB",18.37%,"610MB / 349MB","0B / 0B",59
1740726352,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.80%,"104.5MiB / 15.51GiB",0.66%,"930MB / 1.08GB","0B / 0B",40
1740726352,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,23.00%,"3.244GiB / 15.51GiB",20.92%,"491MB / 562MB","0B / 0B",875
1740726352,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.70%,"814MiB / 15.51GiB",5.13%,"54.6MB / 99.7MB","0B / 0B",252
1740726352,e192d5341051,reverse-proxy-api-1,e192d5341051,118.87%,"175.5MiB / 1GiB",17.14%,"613MB / 350MB","0B / 0B",58
1740726362,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.44%,"104.6MiB / 15.51GiB",0.66%,"934MB / 1.08GB","0B / 0B",40
1740726362,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,23.37%,"3.252GiB / 15.51GiB",20.97%,"492MB / 564MB","0B / 0B",861
1740726362,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.77%,"814.5MiB / 15.51GiB",5.13%,"54.8MB / 99.8MB","0B / 0B",252
1740726362,e192d5341051,reverse-proxy-api-1,e192d5341051,132.57%,"171.1MiB / 1GiB",16.70%,"616MB / 352MB","0B / 0B",48
1740726374,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.04%,"104.7MiB / 15.51GiB",0.66%,"939MB / 1.09GB","0B / 0B",40
1740726374,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,19.60%,"3.273GiB / 15.51GiB",21.11%,"494MB / 567MB","0B / 0B",861
1740726374,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.57%,"815.6MiB / 15.51GiB",5.14%,"55MB / 99.8MB","0B / 0B",251
