DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 05:10:34,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.17%,"109.2MiB / 15.51GiB",0.69%,"425MB / 498MB","0B / 0B",40
2025-03-04 05:10:34,568208e4829c,reverse-proxy-agent-1,568208e4829c,1330.93%,"2.527GiB / 15.51GiB",16.29%,"265MB / 254MB","0B / 0B",1487
2025-03-04 05:10:34,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.46%,"888.8MiB / 15.51GiB",5.60%,"25.8MB / 91.2MB","0B / 0B",258
2025-03-04 05:10:34,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.11%,"188.6MiB / 1GiB",18.42%,"296MB / 173MB","0B / 0B",21
2025-03-04 05:10:46,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,5.28%,"108.3MiB / 15.51GiB",0.68%,"425MB / 499MB","0B / 0B",40
2025-03-04 05:10:46,568208e4829c,reverse-proxy-agent-1,568208e4829c,59.94%,"2.474GiB / 15.51GiB",15.95%,"266MB / 254MB","0B / 0B",1448
2025-03-04 05:10:46,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.93%,"889.4MiB / 15.51GiB",5.60%,"25.9MB / 91.2MB","0B / 0B",258
2025-03-04 05:10:46,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,73.15%,"188.2MiB / 1GiB",18.38%,"296MB / 174MB","0B / 0B",29
2025-03-04 05:10:59,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.68%,"110.7MiB / 15.51GiB",0.70%,"429MB / 503MB","0B / 0B",40
2025-03-04 05:10:59,568208e4829c,reverse-proxy-agent-1,568208e4829c,126.53%,"2.526GiB / 15.51GiB",16.29%,"267MB / 256MB","0B / 0B",1457
2025-03-04 05:10:59,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.74%,"890.2MiB / 15.51GiB",5.61%,"26.1MB / 91.3MB","0B / 0B",258
2025-03-04 05:10:59,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,132.22%,"196.6MiB / 1GiB",19.20%,"298MB / 175MB","0B / 0B",41
2025-03-04 05:11:11,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.28%,"112.7MiB / 15.51GiB",0.71%,"434MB / 509MB","0B / 0B",40
2025-03-04 05:11:11,568208e4829c,reverse-proxy-agent-1,568208e4829c,61.14%,"2.522GiB / 15.51GiB",16.27%,"269MB / 259MB","0B / 0B",1430
