Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740725310,b424db67d982,reverse-proxy-controller-1,b424db67d982,2.37%,"813.8MiB / 15.51GiB",5.12%,"44.3MB / 96.3MB","0B / 0B",251
1740725310,e192d5341051,reverse-proxy-api-1,e192d5341051,123.35%,"176.7MiB / 1GiB",17.26%,"462MB / 266MB","0B / 0B",44
1740725322,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,10.03%,"104.2MiB / 15.51GiB",0.66%,"695MB / 809MB","0B / 0B",40
1740725322,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,41.73%,"2.817GiB / 15.51GiB",18.16%,"385MB / 420MB","0B / 0B",842
1740725322,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.74%,"814.4MiB / 15.51GiB",5.13%,"44.4MB / 96.4MB","0B / 0B",251
1740725322,e192d5341051,reverse-proxy-api-1,e192d5341051,119.63%,"184.2MiB / 1GiB",17.98%,"464MB / 267MB","0B / 0B",52
1740725332,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.08%,"104.1MiB / 15.51GiB",0.66%,"699MB / 814MB","0B / 0B",40
1740725332,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,26.55%,"2.864GiB / 15.51GiB",18.47%,"387MB / 422MB","0B / 0B",841
1740725332,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.80%,"815.3MiB / 15.51GiB",5.13%,"44.6MB / 96.4MB","0B / 0B",251
1740725332,e192d5341051,reverse-proxy-api-1,e192d5341051,124.04%,"172.4MiB / 1GiB",16.84%,"467MB / 268MB","0B / 0B",41
1740725344,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.92%,"104.2MiB / 15.51GiB",0.66%,"703MB / 818MB","0B / 0B",40
1740725344,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,28.50%,"2.902GiB / 15.51GiB",18.71%,"389MB / 425MB","0B / 0B",841
1740725344,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.63%,"816.4MiB / 15.51GiB",5.14%,"44.7MB / 96.5MB","0B / 0B",251
1740725344,e192d5341051,reverse-proxy-api-1,e192d5341051,122.01%,"177.4MiB / 1GiB",17.32%,"470MB / 270MB","0B / 0B",57
1740725356,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.20%,"104.1MiB / 15.51GiB",0.66%,"707MB / 823MB","0B / 0B",40
1740725356,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,32.70%,"3.012GiB / 15.51GiB",19.42%,"391MB / 427MB","0B / 0B",841
1740725356,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.86%,"817.1MiB / 15.51GiB",5.15%,"44.9MB / 96.5MB","0B / 0B",251
1740725356,e192d5341051,reverse-proxy-api-1,e192d5341051,120.27%,"175.5MiB / 1GiB",17.14%,"472MB / 271MB","0B / 0B",45
1740725366,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.71%,"104.2MiB / 15.51GiB",0.66%,"711MB / 828MB","0B / 0B",40
1740725366,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,144.72%,"3.158GiB / 15.51GiB",20.36%,"393MB / 430MB","0B / 0B",841
1740725366,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.71%,"818.2MiB / 15.51GiB",5.15%,"45.1MB / 96.6MB","0B / 0B",249
1740725366,e192d5341051,reverse-proxy-api-1,e192d5341051,128.12%,"177.4MiB / 1GiB",17.32%,"475MB / 273MB","0B / 0B",49
1740725378,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.12%,"104.1MiB / 15.51GiB",0.66%,"715MB / 833MB","0B / 0B",40
1740725378,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,25.46%,"3.214GiB / 15.51GiB",20.72%,"395MB / 432MB","0B / 0B",841
1740725378,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.62%,"818.6MiB / 15.51GiB",5.15%,"45.2MB / 96.6MB","0B / 0B",249
1740725378,e192d5341051,reverse-proxy-api-1,e192d5341051,123.80%,"170.8MiB / 1GiB",16.68%,"477MB / 274MB","0B / 0B",49
1740725390,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.07%,"104.2MiB / 15.51GiB",0.66%,"720MB / 837MB","0B / 0B",40
1740725390,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,28.18%,"3.265GiB / 15.51GiB",21.06%,"396MB / 435MB","0B / 0B",842
1740725390,b424db67d982,reverse-proxy-controller-1,b424db67d982,3.81%,"820.1MiB / 15.51GiB",5.16%,"45.4MB / 96.7MB","0B / 0B",249
1740725390,e192d5341051,reverse-proxy-api-1,e192d5341051,121.37%,"166.1MiB / 1GiB",16.22%,"480MB / 276MB","0B / 0B",54
1740725400,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.02%,"104.1MiB / 15.51GiB",0.66%,"724MB / 842MB","0B / 0B",40
1740725400,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,26.49%,"3.303GiB / 15.51GiB",21.30%,"398MB / 437MB","0B / 0B",841
1740725400,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.57%,"820.6MiB / 15.51GiB",5.17%,"45.6MB / 96.7MB","0B / 0B",249
1740725400,e192d5341051,reverse-proxy-api-1,e192d5341051,125.52%,"167.5MiB / 1GiB",16.36%,"482MB / 277MB","0B / 0B",44
1740725412,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,10.26%,"104.1MiB / 15.51GiB",0.66%,"728MB / 847MB","0B / 0B",40
1740725412,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,21.82%,"3.333GiB / 15.51GiB",21.49%,"400MB / 440MB","0B / 0B",842
1740725412,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.81%,"821.5MiB / 15.51GiB",5.17%,"45.7MB / 96.8MB","0B / 0B",249
1740725412,e192d5341051,reverse-proxy-api-1,e192d5341051,127.50%,"168.8MiB / 1GiB",16.48%,"485MB / 279MB","0B / 0B",48
1740725422,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.54%,"104.1MiB / 15.51GiB",0.66%,"732MB / 852MB","0B / 0B",40
1740725422,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,21.22%,"3.352GiB / 15.51GiB",21.61%,"402MB / 442MB","0B / 0B",849
1740725422,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.79%,"798.8MiB / 15.51GiB",5.03%,"45.9MB / 96.8MB","0B / 0B",249
1740725422,e192d5341051,reverse-proxy-api-1,e192d5341051,120.48%,"168.6MiB / 1GiB",16.47%,"488MB / 280MB","0B / 0B",42
1740725434,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,8.42%,"104.2MiB / 15.51GiB",0.66%,"736MB / 856MB","0B / 0B",40
1740725434,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,18.33%,"3.416GiB / 15.51GiB",22.02%,"404MB / 445MB","0B / 0B",841
1740725434,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.62%,"799.3MiB / 15.51GiB",5.03%,"46MB / 96.9MB","0B / 0B",249
1740725434,e192d5341051,reverse-proxy-api-1,e192d5341051,119.01%,"173.3MiB / 1GiB",16.92%,"490MB / 281MB","0B / 0B",48
1740725446,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,8.64%,"104.1MiB / 15.51GiB",0.66%,"740MB / 861MB","0B / 0B",40
1740725446,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,18.92%,"3.501GiB / 15.51GiB",22.57%,"406MB / 447MB","0B / 0B",844
1740725446,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.82%,"800.1MiB / 15.51GiB",5.04%,"46.2MB / 96.9MB","0B / 0B",249
1740725446,e192d5341051,reverse-proxy-api-1,e192d5341051,114.30%,"171.8MiB / 1GiB",16.78%,"493MB / 283MB","0B / 0B",50
1740725456,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.96%,"104MiB / 15.51GiB",0.66%,"744MB / 866MB","0B / 0B",40
1740725456,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,20.03%,"3.61GiB / 15.51GiB",23.28%,"408MB / 450MB","0B / 0B",841
1740725456,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.71%,"800.7MiB / 15.51GiB",5.04%,"46.4MB / 97MB","0B / 0B",249
1740725456,e192d5341051,reverse-proxy-api-1,e192d5341051,124.82%,"172.1MiB / 1GiB",16.81%,"495MB / 284MB","0B / 0B",60
1740725468,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,10.96%,"104.2MiB / 15.51GiB",0.66%,"748MB / 870MB","0B / 0B",40
1740725468,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,22.58%,"3.726GiB / 15.51GiB",24.03%,"409MB / 452MB","0B / 0B",841
