Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740723689,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,1.25%,"98.6MiB / 15.51GiB",0.62%,"342MB / 399MB","0B / 0B",40
1740723689,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,19.64%,"2.269GiB / 15.51GiB",14.63%,"231MB / 211MB","0B / 0B",940
1740723689,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.63%,"856.8MiB / 15.51GiB",5.40%,"29.3MB / 91.1MB","0B / 0B",249
1740723689,e192d5341051,reverse-proxy-api-1,e192d5341051,14.01%,"151.9MiB / 1GiB",14.83%,"233MB / 135MB","0B / 0B",23
1740723798,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,6.16%,"98.78MiB / 15.51GiB",0.62%,"343MB / 401MB","0B / 0B",40
1740723798,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,49.86%,"2.374GiB / 15.51GiB",15.31%,"231MB / 212MB","0B / 0B",944
1740723798,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.82%,"857.6MiB / 15.51GiB",5.40%,"29.4MB / 91.1MB","0B / 0B",247
1740723798,e192d5341051,reverse-proxy-api-1,e192d5341051,78.32%,"160.6MiB / 1GiB",15.68%,"233MB / 135MB","0B / 0B",31
1740723810,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.12%,"99.11MiB / 15.51GiB",0.62%,"346MB / 404MB","0B / 0B",40
1740723810,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,44.13%,"2.492GiB / 15.51GiB",16.07%,"233MB / 214MB","0B / 0B",926
1740723810,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.83%,"796.1MiB / 15.51GiB",5.01%,"29.6MB / 91.2MB","0B / 0B",245
1740723810,e192d5341051,reverse-proxy-api-1,e192d5341051,126.42%,"171.1MiB / 1GiB",16.71%,"235MB / 136MB","0B / 0B",50
1740723822,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.89%,"99.91MiB / 15.51GiB",0.63%,"351MB / 410MB","0B / 0B",40
1740723822,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,50.91%,"2.467GiB / 15.51GiB",15.91%,"235MB / 217MB","0B / 0B",921
1740723822,b424db67d982,reverse-proxy-controller-1,b424db67d982,118.18%,"796.8MiB / 15.51GiB",5.02%,"29.8MB / 91.2MB","0B / 0B",245
1740723822,e192d5341051,reverse-proxy-api-1,e192d5341051,136.08%,"200.2MiB / 1GiB",19.55%,"239MB / 138MB","0B / 0B",62
1740723832,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,10.71%,"100.5MiB / 15.51GiB",0.63%,"356MB / 416MB","0B / 0B",40
1740723832,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,98.94%,"2.493GiB / 15.51GiB",16.08%,"237MB / 220MB","0B / 0B",921
1740723832,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.58%,"797.5MiB / 15.51GiB",5.02%,"29.9MB / 91.3MB","0B / 0B",245
1740723832,e192d5341051,reverse-proxy-api-1,e192d5341051,135.39%,"192.9MiB / 1GiB",18.84%,"242MB / 140MB","0B / 0B",61
1740723844,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,51.86%,"101.1MiB / 15.51GiB",0.64%,"361MB / 422MB","0B / 0B",40
1740723844,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,57.03%,"2.61GiB / 15.51GiB",16.83%,"239MB / 222MB","0B / 0B",921
1740723844,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.79%,"798MiB / 15.51GiB",5.03%,"30.1MB / 91.3MB","0B / 0B",245
1740723844,e192d5341051,reverse-proxy-api-1,e192d5341051,135.31%,"203.4MiB / 1GiB",19.86%,"246MB / 142MB","0B / 0B",60
1740723854,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,54.26%,"101.8MiB / 15.51GiB",0.64%,"366MB / 428MB","0B / 0B",40
1740723854,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,129.54%,"2.745GiB / 15.51GiB",17.70%,"241MB / 225MB","0B / 0B",922
1740723854,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.68%,"799.2MiB / 15.51GiB",5.03%,"30.2MB / 91.4MB","0B / 0B",247
1740723854,e192d5341051,reverse-proxy-api-1,e192d5341051,140.37%,"194.2MiB / 1GiB",18.96%,"249MB / 144MB","0B / 0B",61
1740723866,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,6.47%,"102.1MiB / 15.51GiB",0.64%,"371MB / 433MB","0B / 0B",40
1740723866,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,72.59%,"2.783GiB / 15.51GiB",17.95%,"243MB / 227MB","0B / 0B",921
1740723866,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.59%,"800MiB / 15.51GiB",5.04%,"30.4MB / 91.4MB","0B / 0B",247
1740723866,e192d5341051,reverse-proxy-api-1,e192d5341051,87.39%,"192MiB / 1GiB",18.75%,"253MB / 146MB","0B / 0B",61
1740723878,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,12.11%,"102MiB / 15.51GiB",0.64%,"375MB / 438MB","0B / 0B",40
1740723878,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,48.61%,"2.814GiB / 15.51GiB",18.15%,"245MB / 230MB","0B / 0B",922
1740723878,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.91%,"800.7MiB / 15.51GiB",5.04%,"30.6MB / 91.5MB","0B / 0B",247
1740723878,e192d5341051,reverse-proxy-api-1,e192d5341051,138.42%,"193.6MiB / 1GiB",18.91%,"256MB / 148MB","0B / 0B",61
