1740721496,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.84%,"820.1MiB / 15.51GiB",5.16%,"23.3MB / 89.2MB","0B / 0B",248
1740721496,e192d5341051,reverse-proxy-api-1,e192d5341051,111.83%,"167.8MiB / 1GiB",16.38%,"149MB / 86MB","0B / 0B",39
1740721506,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,12.18%,"103.7MiB / 15.51GiB",0.65%,"229MB / 266MB","0B / 0B",40
1740721506,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,79.87%,"2.499GiB / 15.51GiB",16.12%,"184MB / 147MB","0B / 0B",1023
1740721506,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.69%,"820.8MiB / 15.51GiB",5.17%,"23.4MB / 89.3MB","0B / 0B",248
1740721506,e192d5341051,reverse-proxy-api-1,e192d5341051,137.89%,"202.5MiB / 1GiB",19.77%,"152MB / 87.7MB","0B / 0B",61
1740721518,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,10.70%,"104.5MiB / 15.51GiB",0.66%,"234MB / 272MB","0B / 0B",40
1740721518,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,52.41%,"2.517GiB / 15.51GiB",16.23%,"186MB / 149MB","0B / 0B",1021
1740721518,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.71%,"821.6MiB / 15.51GiB",5.17%,"23.6MB / 89.3MB","0B / 0B",247
1740721518,e192d5341051,reverse-proxy-api-1,e192d5341051,136.93%,"202MiB / 1GiB",19.72%,"156MB / 89.8MB","0B / 0B",60
1740721530,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,14.34%,"105.1MiB / 15.51GiB",0.66%,"239MB / 277MB","0B / 0B",40
1740721530,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,32.88%,"2.6GiB / 15.51GiB",16.77%,"188MB / 152MB","0B / 0B",1021
1740721530,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.95%,"822.4MiB / 15.51GiB",5.18%,"23.8MB / 89.4MB","0B / 0B",247
1740721530,e192d5341051,reverse-proxy-api-1,e192d5341051,133.71%,"205.7MiB / 1GiB",20.08%,"159MB / 91.8MB","0B / 0B",60
1740721540,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,51.00%,"105.8MiB / 15.51GiB",0.67%,"243MB / 283MB","0B / 0B",40
1740721540,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,45.87%,"2.75GiB / 15.51GiB",17.74%,"190MB / 155MB","0B / 0B",1021
1740721540,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.85%,"823.2MiB / 15.51GiB",5.18%,"23.9MB / 89.4MB","0B / 0B",245
1740721540,e192d5341051,reverse-proxy-api-1,e192d5341051,135.60%,"203.7MiB / 1GiB",19.89%,"163MB / 93.8MB","0B / 0B",60
1740721552,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,57.38%,"106.3MiB / 15.51GiB",0.67%,"248MB / 289MB","0B / 0B",40
1740721552,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,37.92%,"2.855GiB / 15.51GiB",18.41%,"192MB / 157MB","0B / 0B",1021
1740721552,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.60%,"824.1MiB / 15.51GiB",5.19%,"24.1MB / 89.5MB","0B / 0B",245
1740721552,e192d5341051,reverse-proxy-api-1,e192d5341051,137.24%,"199MiB / 1GiB",19.43%,"166MB / 95.8MB","0B / 0B",60
